sim_time,x,y,speed,steer,throttle,style_scores,alert_state,alert_raw,alert_score
0.05,227.07386779785156,-172.86415100097656,0.9800000190734863,0.0,0.5,"[0.3768119812011719, 0.15489999949932098, 0.0, 0.9431818127632141]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",1.0
0.1,227.07386779785156,-172.86415100097656,1.4700000286102295,0.0,0.5,"[0.4089679718017578, 0.23229999840259552, 0.0, 0.9659090638160706]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",1.0
0.15000000000000002,227.07386779785156,-172.86415100097656,1.9600000381469727,0.0,0.5,"[0.44112396240234375, 0.30970001220703125, 0.0, 0.9659090042114258]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",1.0
0.2,227.07386779785156,-172.86415100097656,1.796090006828308,0.0,0.5,"[0.43036746978759766, 0.29350000619888306, 4.3956040940429375e-07, 0.5231031775474548]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",1.0
0.25,227.07386779785156,-172.86415100097656,0.9435200095176697,0.0,0.5,"[0.3744180202484131, 0.14339999854564667, 0.0, 0.5113636255264282]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",0.9769867866051559
0.3,227.07386779785156,-172.86415100097656,0.4353399872779846,0.0,0.5,"[0.34106895327568054, 0.06870000064373016, 0.0, 0.6528287529945374]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",0.8826955851994069
0.35,227.07386779785156,-172.86415100097656,0.14326000213623047,0.0,0.5,"[0.3219013810157776, 0.023099999874830246, 0.0, 0.7694510817527771]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",0.7681341184777672
0.39999999999999997,227.07386779785156,-172.86415100097656,0.01549999974668026,0.0,0.5,"[0.31351718306541443, 0.0024999999441206455, 0.0, 0.861376941204071]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",0.4588387406460923
0.44999999999999996,227.07386779785156,-172.86415100097656,0.09382999688386917,0.0,0.5,"[0.3186575472354889, 0.01549999974668026, 0.0, 0.9162059426307678]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",0.26518567001173465
0.49999999999999994,227.07386779785156,-172.86415100097656,0.1251399964094162,0.0,0.5,"[0.32071226835250854, 0.02070000022649765, 0.0, 0.9529798030853271]","[0.0, 0.0, -0.0056919436901807785, 2.566666626080405e-05, -0.03210420161485672, 1.0, 0.016333334147930145, -0.0056919436901807785, 0.0, 0.0, 0.9981881976127625, -0.016307666897773743, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.2336183786392212, 0.0, 0.9681039452552795, 0.5445896983146667, 0.7453617453575134]",0.04821941610225844
